member,item
1000,"soda,canned beer,sausage,sausage,whole milk,whole milk,pickled vegetables,misc. beverages,semi-finished bread,hygiene articles,yogurt,pastry,salty snack"
1001,"frankfurter,frankfurter,beef,sausage,whole milk,soda,curd,white bread,whole milk,soda,whipped/sour cream,rolls/buns"
1002,"tropical fruit,butter milk,butter,frozen vegetables,sugar,specialty chocolate,whole milk,other vegetables"
1003,"sausage,root vegetables,rolls/buns,detergent,frozen meals,rolls/buns,dental care,rolls/buns"
1004,"other vegetables,pip fruit,root vegetables,canned beer,rolls/buns,whole milk,other vegetables,hygiene articles,whole milk,whole milk,frozen fish,red/blush wine,chocolate,shopping bags,dish cleaner,packaged fruit/vegetables,tropical fruit,rolls/buns,cling film/bags,chocolate,pastry"
1005,"whipped/sour cream,rolls/buns,margarine,rolls/buns"
1006,"whole milk,frankfurter,chicken,frankfurter,whole milk,bottled water,flour,chocolate,bottled beer,rolls/buns,rice,softener,shopping bags,rolls/buns,skin care"
1008,"hamburger meat,tropical fruit,soda,liquor (appetizer),yogurt,liver loaf,root vegetables,yogurt,dessert,domestic eggs,white wine,photo/film"
1009,"herbs,pastry,tropical fruit,yogurt,ketchup,yogurt,canned fish,newspapers,cocoa drinks"
1010,"pip fruit,frankfurter,pip fruit,bottled water,candles,bottled water,coffee,specialty bar,kitchen towels,rolls/buns,UHT-milk,sliced cheese"
1011,"whole milk,frankfurter,candles,citrus fruit,curd cheese,grapes,herbs,other vegetables,candy,pastry,bottled water,yogurt,rolls/buns"
1012,"frankfurter,processed cheese,tropical fruit,root vegetables,yogurt,whole milk,rolls/buns,onions,frozen vegetables,shopping bags,brown bread"
1013,"frozen meals,white bread,meat,whole milk,tropical fruit,mustard,hard cheese,root vegetables,other vegetables,whole milk,domestic eggs,roll products ,candy,frozen vegetables,whipped/sour cream,napkins,mayonnaise,mustard,bottled water"
1014,"whole milk,canned beer,sausage,hamburger meat,whole milk,bottled beer,cookware,yogurt,butter milk,rolls/buns"
1015,"citrus fruit,salty snack,fruit/vegetable juice,whole milk,beef,rolls/buns,chocolate"
1016,"UHT-milk,soft cheese,rolls/buns,chicken,frankfurter,bottled beer,pip fruit,oil,red/blush wine,pip fruit,mayonnaise"
1017,"soda,other vegetables,yogurt,other vegetables,dessert,rolls/buns,beef,root vegetables,brown bread,shopping bags,pet care"
1018,"butter milk,curd,berries,beverages,root vegetables,long life bakery product,cake bar,domestic eggs"
1019,"hamburger meat,red/blush wine"
1020,"canned beer,canned beer,frozen meals,spices,rolls/buns,shopping bags,butter,frozen fish,newspapers,yogurt"
1021,"rolls/buns,liquor,curd,sliced cheese,baking powder,yogurt,tropical fruit,butter"
1022,"sausage,beef,whole milk,fruit/vegetable juice,napkins,whipped/sour cream"
1023,"white bread,whipped/sour cream,bottled beer,root vegetables,sausage,domestic eggs,chicken,male cosmetics,yogurt,rolls/buns,berries,packaged fruit/vegetables,whipped/sour cream,soda,frozen meals,curd,specialty bar"
1024,"fish,root vegetables,tropical fruit,other vegetables"
1025,"canned beer,ham,coffee,UHT-milk,cream cheese ,shopping bags"
1026,"fruit/vegetable juice,root vegetables,salty snack,whipped/sour cream,citrus fruit,sausage,root vegetables,candy,root vegetables,dental care,canned beer,yogurt,dessert,long life bakery product,rolls/buns,butter,pickled vegetables"
